GEOID,TRANSIT_INDEX
360593037003,80.0
360594065014,90.0
360594076003,80.0
360594085002,70.0
360594095002,1.0
360594044004,70.0
360594045002,80.0
360594047001,80.0
360594047003,70.0
360594049013,80.0
360594050003,100.0
360594051001,80.0
360594052001,80.0
360594052003,80.0
360594053011,100.0
360594053025,100.0
360594054002,90.0
360594082003,70.0
360594086001,90.0
360594105002,90.0
360594118003,100.0
360595213024,1.0
360595206005,1.0
360594054006,80.0
360594055001,1.0
360594057003,80.0
360594054003,80.0
360594058003,100.0
360594059003,90.0
360594060014,1.0
360594061002,100.0
360594061003,100.0
360594064001,1.0
360594064004,90.0
360594166002,1.0
360594154021,1.0
360594144001,80.0
360595215004,1.0
360593029003,90.0
360595189004,100.0
360594055002,1.0
360594060023,100.0
360594101001,80.0
360594047002,80.0
360594117003,90.0
360593035004,90.0
360594072013,90.0
360594091005,90.0
360594092002,70.0
360594093003,70.0
360594065011,100.0
360594094002,70.0
360594096004,70.0
360594096003,70.0
360593028007,90.0
360595200023,80.0
360594060021,90.0
360594146002,80.0
360594058004,100.0
360594093002,70.0
360595173023,1.0
360594045001,80.0
360595188001,1.0
360593012004,1.0
360593032023,80.0
360594101003,80.0
360594102002,90.0
360594102004,90.0
360594105001,90.0
360594106001,80.0
360594106004,90.0
360594106005,80.0
360595177011,1.0
360595196012,1.0
360594065015,70.0
360594066004,100.0
360594069001,100.0
360594071012,100.0
360594072012,90.0
360594074014,80.0
360594075011,100.0
360594076001,80.0
360594076006,1.0
360594078011,90.0
360594080005,90.0
360594080003,90.0
360594081005,70.0
360594081001,70.0
360594082004,90.0
360594083001,90.0
360594084004,80.0
360594085003,1.0
360594087002,80.0
360594088003,80.0
360594088005,80.0
360594089001,90.0
360594089005,80.0
360594090005,90.0
360594091001,70.0
360594091002,70.0
360594091004,90.0
360595215002,1.0
360594145013,70.0
360594088001,70.0
360593022003,80.0
360595216024,80.0
360594153002,1.0
360594104002,90.0
360595209005,80.0
360594053022,100.0
360593030004,90.0
360594088004,80.0
360594065016,70.0
360594132004,90.0
360594152021,80.0
360594166003,80.0
360595178013,1.0
360595193003,80.0
360595202003,90.0
360595212001,80.0
360593001004,70.0
360593003001,80.0
360593003003,70.0
360593003004,70.0
360593005001,70.0
360593005002,70.0
360593006001,70.0
360593006002,90.0
360593006004,90.0
360593006005,90.0
360593008001,100.0
360593009002,1.0
360593010004,1.0
360593011021,1.0
360593013002,80.0
360593013005,80.0
360593016001,1.0
360593016003,1.0
360593019001,1.0
360593021011,70.0
360593021024,80.0
360593022001,80.0
360593022002,80.0
360593024001,80.0
360593024003,80.0
360593027003,90.0
360593030003,80.0
360593032012,90.0
360593033011,90.0
360593033021,80.0
360593034002,80.0
360593035003,80.0
360593035005,90.0
360593035006,90.0
360593037001,80.0
360593038002,90.0
360593038003,90.0
360593039002,1.0
360593041001,1.0
360594119023,90.0
360594127002,1.0
360594143034,100.0
360594160001,80.0
360593007004,100.0
360593027001,90.0
360593032013,80.0
360593042031,1.0
360594067021,100.0
360594071011,90.0
360594140023,80.0
360594150001,80.0
360594158024,1.0
360595198011,80.0
360593042033,100.0
360594143033,100.0
360594164012,80.0
360594132002,70.0
360593007005,90.0
360595177014,1.0
360595211005,80.0
360594077001,80.0
360594116004,80.0
360594116001,80.0
360595195005,1.0
360599903010,-999.0
360593022004,80.0
360595183004,1.0
360595173022,1.0
360595200022,80.0
360595210003,70.0
360595216011,1.0
360594074013,100.0
360594074015,90.0
360594075012,100.0
360594075021,80.0
360594075022,90.0
360594075023,90.0
360594076004,80.0
360594076005,80.0
360594077002,1.0
360594116005,1.0
360594116003,90.0
360594117001,90.0
360594118001,90.0
360594160002,80.0
360594161001,1.0
360594162013,70.0
360595196011,1.0
360595196013,1.0
360595196014,80.0
360595196021,1.0
360595197021,70.0
360595197022,80.0
360595197023,80.0
360595197024,80.0
360595197031,80.0
360595197032,1.0
360595197033,1.0
360593001001,1.0
360593001003,1.0
360593005004,80.0
360593008002,100.0
360593008003,1.0
360593009001,90.0
360594078014,80.0
360594078021,90.0
360594079002,90.0
360594079004,80.0
360594080001,90.0
360594080004,90.0
360594080006,90.0
360594081002,70.0
360594119011,80.0
360594119012,90.0
360594119021,90.0
360594120001,90.0
360594120002,90.0
360594120003,90.0
360594120004,70.0
360594120006,90.0
360594121001,70.0
360594121002,70.0
360594162021,90.0
360594162024,90.0
360594163001,80.0
360594163002,80.0
360594163004,70.0
360594165001,90.0
360595197041,80.0
360595197042,80.0
360595197043,1.0
360595198012,80.0
360595198021,1.0
360595198022,1.0
360595198023,1.0
360595198024,1.0
360593009003,80.0
360593009004,1.0
360593009005,1.0
360593011012,80.0
360593011013,80.0
360594081003,70.0
360593041002,90.0
360594062012,90.0
360595177013,1.0
360593027002,80.0
360593021012,70.0
360593018002,90.0
360593023002,1.0
360593024004,80.0
360594081004,70.0
360594081006,70.0
360594082001,90.0
360594082002,70.0
360594082005,90.0
360594082007,90.0
360594083002,90.0
360594083005,70.0
360594083006,70.0
360594083007,70.0
360594083004,90.0
360594121003,80.0
360594121005,70.0
360594122001,80.0
360593024005,80.0
360593025022,1.0
360593031022,1.0
360593031023,90.0
360593032021,80.0
360593032022,80.0
360593039004,1.0
360593041003,90.0
360593042032,100.0
360594122002,70.0
360594122004,1.0
360594122005,70.0
360594124001,1.0
360594124002,70.0
360594124003,90.0
360594165002,90.0
360594166001,90.0
360594166004,80.0
360594166005,80.0
360594166006,80.0
360594167011,1.0
360594167013,1.0
360594167015,90.0
360594167023,1.0
360594167021,1.0
360594169001,1.0
360594169002,1.0
360595170001,1.0
360595199002,80.0
