GEOID,TRANSIT_INDEX
360595183002,70.0
360595184001,1.0
360595184002,1.0
360595220003,80.0
360595220004,80.0
360593014002,80.0
360594049022,80.0
360594050001,1.0
360594050002,1.0
360594051002,80.0
360594051003,80.0
360594051004,80.0
360594051006,80.0
360594051007,80.0
360594052002,1.0
360594093001,70.0
360594121004,80.0
360594123012,90.0
360594123022,90.0
360594124005,100.0
360594125001,70.0
360594125003,80.0
360594126003,80.0
360594129004,80.0
360594129002,90.0
360594135003,80.0
360594136004,1.0
360594160004,80.0
360594052004,80.0
360594053013,100.0
360594053021,1.0
360594053023,100.0
360594054001,100.0
360594054004,80.0
360594054005,80.0
360594102001,90.0
360594102003,90.0
360594103001,90.0
360594103002,90.0
360594104001,90.0
360594104003,90.0
360594105005,90.0
360594105006,90.0
360594105004,90.0
360594161003,1.0
360594164013,80.0
360594164021,80.0
360594164022,80.0
360594168011,1.0
360594169003,1.0
360595170002,1.0
360595172003,80.0
360595172005,80.0
360595173012,80.0
360595173013,70.0
360594106002,80.0
360594106003,80.0
360594106007,80.0
360594147003,70.0
360594148001,80.0
360594148003,80.0
360594148004,80.0
360594148005,80.0
360594149002,80.0
360594149003,80.0
360594149005,80.0
360594149004,80.0
360595184003,70.0
360595185011,1.0
360595185012,80.0
360595185013,1.0
360595185021,1.0
360593038005,80.0
360594045003,70.0
360594048001,100.0
360594069003,100.0
360594089003,80.0
360594099003,90.0
360595207002,80.0
360595216021,1.0
360594055003,1.0
360594056001,1.0
360594056002,1.0
360594056003,1.0
360594056004,90.0
360594057001,1.0
360594057004,80.0
360594057005,80.0
360594058001,100.0
360594059001,1.0
360594059002,90.0
360594107001,90.0
360594107002,90.0
360594107003,80.0
360594107004,80.0
360594108002,70.0
360594109001,90.0
360594109003,70.0
360594150003,80.0
360594150004,1.0
360594150005,80.0
360594151011,80.0
360594151012,1.0
360594151021,80.0
360594151022,80.0
360594151023,1.0
360594151024,80.0
360595186004,1.0
360595186003,1.0
360595187001,1.0
360595187002,1.0
360595187003,1.0
360595187004,1.0
360594143042,100.0
360594150002,80.0
360593029004,80.0
360594151025,80.0
360594156003,1.0
360594162011,1.0
360594162012,90.0
360594163003,80.0
360594168012,1.0
360595190001,90.0
360595191001,80.0
360595175002,80.0
360595179022,1.0
360595181002,1.0
360595183003,1.0
360595193005,1.0
360595193002,80.0
360595199003,80.0
360595199004,70.0
360595200014,1.0
360595200015,1.0
360595201001,1.0
360594060011,100.0
360594060012,100.0
360594060022,100.0
360594061001,90.0
360594062011,100.0
360594062013,90.0
360594062021,80.0
360594062023,90.0
360594062024,1.0
360594063004,80.0
360594110001,80.0
360594110002,80.0
360594110003,80.0
360594110004,80.0
360594110005,80.0
360594111003,90.0
360594111004,90.0
360594111002,80.0
360594112001,80.0
360594112003,80.0
360594112004,80.0
360594152011,80.0
360594152012,80.0
360594152013,80.0
360594152022,1.0
360594152023,1.0
360594153001,80.0
360594153004,70.0
360594153005,70.0
360595188002,1.0
360595188003,1.0
360595189003,100.0
360595189005,100.0
360595189006,80.0
360595190004,1.0
360595190006,80.0
360595190002,1.0
360594139002,100.0
360595195001,1.0
360595196022,1.0
360595215005,1.0
360595219021,1.0
360595227001,80.0
360593006006,100.0
360593006003,70.0
360593007003,90.0
360593007001,90.0
360595201002,1.0
360595201004,1.0
360595203005,80.0
360595203006,80.0
360595203007,80.0
360595208001,80.0
360595208003,80.0
360595219022,1.0
360595219023,1.0
360595220005,80.0
360595220002,80.0
360594064002,70.0
360594064003,70.0
360594066001,100.0
360594066002,90.0
360594066003,90.0
360594066005,100.0
360594069002,90.0
360594069004,90.0
360594113011,80.0
360594113022,80.0
360594113023,80.0
360594113024,80.0
360594113025,70.0
360594114001,80.0
360594114002,80.0
360594153006,70.0
360594154012,80.0
360594154013,1.0
360594154022,1.0
360594155001,1.0
360594155002,80.0
360594156001,80.0
360594156002,80.0
360594156004,1.0
360595191002,80.0
360595191003,80.0
360595191004,80.0
360595191005,80.0
360595191006,80.0
360595192002,80.0
360595192003,80.0
360595192004,80.0
360595192005,80.0
360595192006,80.0
360595192001,80.0
360593020003,1.0
360593021013,80.0
360593023003,80.0
360593025012,80.0
360593025021,1.0
360593031011,1.0
360593032011,90.0
360593033013,90.0
360593040023,90.0
360595227002,70.0
360594074022,100.0
360594108004,100.0
360594109004,70.0
360594070001,100.0
360594070004,1.0
360594070005,90.0
360594071021,90.0
360594071024,90.0
360594072011,100.0
360594073011,100.0
360594073024,100.0
360594074011,100.0
360594115001,80.0
360594117002,1.0
360594145014,70.0
360594158022,1.0
360594158025,80.0
360595179021,1.0
360595186002,1.0
360595187006,1.0
360594115003,1.0
360594156006,80.0
360594156005,80.0
360594157001,1.0
360594158021,80.0
360595193001,80.0
360595193004,80.0
360595194001,80.0
360595194002,1.0
360595194003,80.0
360595195002,1.0
360595195003,1.0
360593019003,100.0
360593040024,90.0
360594046004,1.0
360594049015,80.0
360594057002,1.0
360594063002,80.0
360594065013,1.0
360594067012,100.0
360594067023,90.0
360594068011,100.0
360594068013,100.0
360594068012,90.0
360594072031,90.0
360594072041,90.0
360595227003,80.0
360594067013,100.0
360594140011,80.0
360594098001,90.0
360594079003,90.0
360594073021,90.0
360594085001,70.0
360594095003,1.0
360594103004,1.0
360594107005,90.0
360594113012,1.0
360594113021,80.0
360594114004,80.0
360594120005,90.0
360594128001,80.0
360594072043,90.0
360594130021,80.0
360594133001,70.0
360594137005,90.0
360594138041,1.0
360594138042,1.0
360594143031,100.0
360594146003,80.0
360594152024,1.0
360594161004,1.0
360594161002,1.0
360595171011,1.0
360595177012,1.0
360595182013,1.0
360595182012,1.0
360594157003,80.0
360595182032,1.0
360595182033,70.0
360595182031,1.0
360595182042,70.0
360595185022,90.0
360595186001,1.0
360595189002,100.0
360595199001,80.0
360595201005,1.0
360595202001,90.0
360595204012,1.0
360595205023,1.0
360595218021,80.0
360599801001,1.0
360599811001,1.0
360599821001,1.0
360599902000,-999.0
360593033023,80.0
360593026001,80.0
360595194004,80.0
360595200013,70.0
360594119022,90.0
360594092001,70.0
360594062022,1.0
360595200024,80.0
360595201003,1.0
360595219024,1.0
360594072042,90.0
360594158023,80.0
360594123023,90.0
360594149001,70.0
360595216022,80.0
360594162022,90.0
360594097003,80.0
360594167012,1.0
360594055004,90.0
360595190005,1.0
360593013004,80.0
