STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
36,005,017500,2,360050175002,Block Group 2,G5030,S,23694,0,+40.8296335,-073.9152037
36,005,014100,1,360050141001,Block Group 1,G5030,S,55934,0,+40.8245444,-073.9131209
36,005,014500,1,360050145001,Block Group 1,G5030,S,47026,0,+40.8309816,-073.9050870
36,005,007500,2,360050075002,Block Group 2,G5030,S,109058,0,+40.8202395,-073.9080678
36,005,041800,1,360050418001,Block Group 1,G5030,S,140793,0,+40.8989195,-073.8564428
36,005,012500,1,360050125001,Block Group 1,G5030,S,99419,0,+40.8281050,-073.8926521
36,005,012701,2,360050127012,Block Group 2,G5030,S,67478,0,+40.8253679,-073.8933822
36,005,005400,3,360050054003,Block Group 3,G5030,S,57695,0,+40.8296369,-073.8824371
36,005,002701,1,360050027011,Block Group 1,G5030,S,39342,0,+40.8044882,-073.9157266
36,005,045800,1,360050458001,Block Group 1,G5030,S,82449,0,+40.8870918,-073.8435899
36,005,022401,1,360050224011,Block Group 1,G5030,S,35632,0,+40.8561564,-073.8688238
36,103,201004,4,361032010044,Block Group 4,G5030,S,17091255,9631697,+41.0287962,-071.9950548
36,103,190707,3,361031907073,Block Group 3,G5030,S,12583637,34251,+40.9457350,-072.3577828
36,103,158708,3,361031587083,Block Group 3,G5030,S,5049239,4749,+40.8716416,-072.9483120
36,103,158502,2,361031585022,Block Group 2,G5030,S,765857,0,+40.8310313,-073.1053096
36,005,038900,1,360050389001,Block Group 1,G5030,S,48230,0,+40.8565967,-073.8836054
36,005,007100,2,360050071002,Block Group 2,G5030,S,210622,0,+40.8174963,-073.9134556
36,005,021100,3,360050211003,Block Group 3,G5030,S,42251,0,+40.8391029,-073.9244240
36,005,019700,1,360050197001,Block Group 1,G5030,S,29094,0,+40.8354716,-073.9179964
36,103,190800,4,361031908004,Block Group 4,G5030,S,8548457,11012442,+40.8666203,-072.4079790
36,103,112206,4,361031122064,Block Group 4,G5030,S,565617,0,+40.8017167,-073.4087438
36,103,169704,4,361031697044,Block Group 4,G5030,S,1016646,0,+40.9205839,-072.6999232
36,103,169704,5,361031697045,Block Group 5,G5030,S,5072503,417585,+40.9171579,-072.7271237
36,103,169704,6,361031697046,Block Group 6,G5030,S,7033132,0,+40.9329337,-072.7229698
36,103,159410,3,361031594103,Block Group 3,G5030,S,11877664,0,+40.8426753,-072.7712233
36,103,158900,3,361031589003,Block Group 3,G5030,S,552656,151701,+40.7716312,-073.0213963
36,119,012700,2,361190127002,Block Group 2,G5030,S,7676762,60760,+41.1903951,-073.6391444
36,119,010701,1,361190107011,Block Group 1,G5030,S,5113223,0,+40.9944060,-073.8481648
36,119,012301,1,361190123011,Block Group 1,G5030,S,1130108,0,+41.0634306,-073.7690405
36,119,013202,2,361190132022,Block Group 2,G5030,S,1935144,0,+41.1563006,-073.8450664
36,119,007500,2,361190075002,Block Group 2,G5030,S,1118352,0,+40.9646111,-073.6942237
36,119,005200,3,361190052003,Block Group 3,G5030,S,1309905,0,+40.9383449,-073.8115703
36,119,004700,2,361190047002,Block Group 2,G5030,S,831490,0,+40.9414782,-073.8260404
36,119,005001,2,361190050012,Block Group 2,G5030,S,481823,0,+40.9809055,-073.8064195
36,119,005100,3,361190051003,Block Group 3,G5030,S,244634,0,+40.9574741,-073.8089437
36,119,005300,2,361190053002,Block Group 2,G5030,S,364352,11715,+40.9152303,-073.8101624
36,119,006200,4,361190062004,Block Group 4,G5030,S,138867,0,+40.9089470,-073.7985799
36,119,006500,4,361190065004,Block Group 4,G5030,S,741335,0,+40.9293721,-073.7718097
36,119,006700,3,361190067003,Block Group 3,G5030,S,1112866,6636,+40.9418292,-073.7847393
36,057,072600,3,360570726003,Block Group 3,G5030,S,57431393,329057,+42.8475647,-074.6263678
36,057,072700,1,360570727001,Block Group 1,G5030,S,19616219,765831,+42.9310688,-074.3716143
36,057,072700,4,360570727004,Block Group 4,G5030,S,74080393,434346,+42.8141501,-074.4766028
36,057,072800,4,360570728004,Block Group 4,G5030,S,83937897,1697509,+42.8247690,-074.3557623
36,057,072800,3,360570728003,Block Group 3,G5030,S,64627811,1307273,+42.8419763,-074.2566934
36,121,970700,1,361219707001,Block Group 1,G5030,S,68901909,289017,+42.6700082,-078.0072676
36,121,970300,2,361219703002,Block Group 2,G5030,S,46778354,20014,+42.8125563,-078.3449472
36,121,970600,6,361219706006,Block Group 6,G5030,S,57437130,371657,+42.7630796,-078.0210329
36,121,970200,1,361219702001,Block Group 1,G5030,S,47487197,174709,+42.8345116,-078.2219024
36,121,971000,1,361219710001,Block Group 1,G5030,S,58404302,210604,+42.5617695,-078.3655067
36,121,970100,1,361219701001,Block Group 1,G5030,S,86105106,64307,+42.8240297,-078.1332637
36,121,970400,2,361219704002,Block Group 2,G5030,S,70641230,63832,+42.7537759,-078.4034637
36,121,970400,3,361219704003,Block Group 3,G5030,S,57793991,74049,+42.7210354,-078.2562705
36,121,970400,4,361219704004,Block Group 4,G5030,S,43227524,2203,+42.7274290,-078.3451427
36,121,970400,1,361219704001,Block Group 1,G5030,S,43069814,137040,+42.7662763,-078.2617433
36,121,970500,1,361219705001,Block Group 1,G5030,S,42292781,52940,+42.7367840,-078.1067213
36,121,970100,3,361219701003,Block Group 3,G5030,S,12816406,0,+42.8334804,-078.0739481
36,121,971100,2,361219711002,Block Group 2,G5030,S,91782810,440222,+42.5673573,-078.1814293
36,121,970200,2,361219702002,Block Group 2,G5030,S,41507263,641615,+42.8157209,-078.2803907
36,121,970300,4,361219703004,Block Group 4,G5030,S,42385922,0,+42.8063690,-078.4399974
36,121,970900,1,361219709001,Block Group 1,G5030,S,41750396,173660,+42.6667800,-078.3588238
